year,tau_global_mean,tau_global_max,tau_global_var
1993,0.048954925580972496,0.0742539381127695,0.00016026057110036165
1994,0.019895665239384908,0.028422840550755155,1.7120557293335515e-05
1995,0.009630015661317765,0.01196637132032396,1.6197421966925874e-06
1996,0.006498174527149988,0.007405786927485799,1.9958002842003902e-07
1997,0.005195218074508605,0.00596505858236784,1.7010562542965759e-07
1998,0.0027722027240998106,0.003969285002428498,3.638206331017632e-07
1999,0.0021327260934220793,0.002144982369088371,1.527984550895034e-11
2000,0.002131191001909554,0.002131191001909554,0.0
2001,0.002130158866509547,0.002149300156763685,1.0375745282354753e-10
2002,0.002098409620788825,0.0025969133299845073,5.550174048875032e-08
2003,0.0026979024077177596,0.0029356898206638732,2.2723748047901217e-08
2004,0.00242807372836623,0.00266150854821333,1.472706190909366e-08
2005,0.0034144195870003343,0.003730334981319009,6.018505911156891e-08
2006,0.003849976191266192,0.005374293921879121,5.344159900793882e-07
2007,0.004344008175765847,0.005352689047583692,1.7517570726159853e-07
2008,0.0037743489564980096,0.004773836186551008,3.5796035773125935e-07
2009,0.004661862744558583,0.0061777989661762,8.586058396398581e-07
2010,0.0035550339766533337,0.0044731835664971725,1.2736395801715311e-07
2011,0.004930665508682702,0.006750953620384598,1.6096187503437773e-06
2012,0.002808710474812787,0.004844419457327236,2.774705943476663e-06
